name,buyPrice,upgradePrice,productName,productCost,x,y
berlin,50000,300000,car,20000,555,560
frankfurt,30000,200000,food,8000,485,625
hamburg,25000,150000,machinery,6000,505,625
paris,50000,270000,car,18000,505,543
lyon,30000,250000,food,9000,370,653
madrid,25000,150000,food,5000,412,733
barcelona,20000,100000,food,4000,341,833
lisbon,40000,250000,car,17000,103,855
london,60000,400000,car,18000,345,584
manchester,25000,150000,machinery,4000,310,529
dublin,25000,150000,machinery,4000,245,525
reykjavik,20000,100000,food,4000,147,207
oslo,30000,200000,oil,800,512,389
stockholm,70000,350000,car,27000,615,395
copenhagen,20000,100000,food,4000,545,494
amsterdam,60000,320000,car,28000,417,570
bern,25000,150000,machinery,5000,457,707
vienna,25000,150000,machinery,6000,616,675
warsaw,35000,225000,car,10000,683,560
bratislava,25000,150000,car,10000,640,670
budapest,25000,150000,car,10000,676,678
belgrade,20000,100000,car,10000,701,744
sofia,20000,75000,machinery,3000,777,787
athens,20000,75000,oil,600,805,905
bucharest,20000,75000,car,12000,820,731
prague,20000,75000,car,12000,583,630
helsinki,25000,100000,machinery,2000,706,359
riga,20000,75000,machinery,3000,710,450
rome,25000,100000,machinery,2500,563,833
milan,30000,250000,car,16000,492,744
