name,buyPrice,upgradePrice,productName,productCost,x,y
Berlin,50000,300000,car,20000,585,605
Frankfurt,30000,200000,food,8000,505,670 
Hamburg,25000,150000,machinery,6000,525,588
Paris,50000,270000,car,18000,390,698
Lyon,30000,250000,food,9000,432,778
Madrid,25000,150000,food,5000,245,895
Barcelona,20000,100000,food,4000,361,878
Lisbon,40000,250000,car,17000,123,900
London,60000,400000,car,18000,365,629
Manchester,25000,150000,machinery,4000,330,574
Dublin,25000,150000,machinery,4000,265,570
Reykjavik,20000,100000,food,4000,169,252
Oslo,30000,200000,oil,800,532,434
Stockholm,70000,350000,car,27000,635,440
Copenhagen,20000,100000,food,4000,565,542
Amsterdam,60000,320000,car,28000,440,615
Bern,25000,150000,machinery,5000,477,755
Vienna,25000,150000,machinery,6000,636,720
Warsaw,35000,225000,car,10000,703,605
Bratislava,25000,150000,car,10000,665,715
Budapest,25000,150000,car,10000,696,735
Belgrade,20000,100000,car,10000,721,789
Sofia,20000,75000,machinery,3000,797,832
Athens,20000,75000,oil,600,825,950
Bucharest,20000,75000,car,12000,840,776
Prague,20000,75000,car,12000,603,675
Helsinki,25000,100000,machinery,2000,726,404
Riga,20000,75000,machinery,3000,730,495
Rome,25000,100000,machinery,2500,583,878
Milan,30000,250000,car,16000,512,789
